"","ID","year","month","element","Val1","xxM1","xxQ1","xxS1","Val2","xxM2","xxQ2","xxS2","Val3","xxM3","xxQ3","xxS3","Val4","xxM4","xxQ4","xxS4","Val5","xxM5","xxQ5","xxS5","Val6","xxM6","xxQ6","xxS6","Val7","xxM7","xxQ7","xxS7","Val8","xxM8","xxQ8","xxS8","Val9","xxM9","xxQ9","xxS9","Val10","xxM10","xxQ10","xxS10","Val11","xxM11","xxQ11","xxS11","Val12","xxM12","xxQ12","xxS12","Val13","xxM13","xxQ13","xxS13","Val14","xxM14","xxQ14","xxS14","Val15","xxM15","xxQ15","xxS15","Val16","xxM16","xxQ16","xxS16","Val17","xxM17","xxQ17","xxS17","Val18","xxM18","xxQ18","xxS18","Val19","xxM19","xxQ19","xxS19","Val20","xxM20","xxQ20","xxS20","Val21","xxM21","xxQ21","xxS21","Val22","xxM22","xxQ22","xxS22","Val23","xxM23","xxQ23","xxS23","Val24","xxM24","xxQ24","xxS24","Val25","xxM25","xxQ25","xxS25","Val26","xxM26","xxQ26","xxS26","Val27","xxM27","xxQ27","xxS27","Val28","xxM28","xxQ28","xxS28","Val29","xxM29","xxQ29","xxS29","Val30","xxM30","xxQ30","xxS30","Val31","xxM31","xxQ31","xxS31"
"847","USW00014936",1900,1,"PRCP",5," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",5," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",5," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X"
"852","USW00014936",1900,2,"PRCP",0," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",3," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",25," "," ","X",0,"T"," ","X",3," "," ","X",0," "," ","X",NA," "," "," ",NA," "," "," ",NA," "," "," "
"857","USW00014936",1900,3,"PRCP",0," "," ","X",0," "," ","X",0," "," ","X",41," "," ","X",18," "," ","X",33," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",28," "," ","X",0,"T"," ","X",0,"T"," ","X",0,"T"," ","X",0," "," ","X",3," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",3," "," ","X",0," "," ","X",0,"T"," ","X",221," "," ","X",10," "," ","X",0,"T"," ","X",0," "," ","X"
"862","USW00014936",1900,4,"PRCP",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",43," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",10," "," ","X",64," "," ","X",71," "," ","X",236," "," ","X",0," "," ","X",38," "," ","X",84," "," ","X",0," "," ","X",NA," "," "," "
"867","USW00014936",1900,5,"PRCP",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",137," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",3," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",15," "," ","X"
"872","USW00014936",1900,6,"PRCP",0," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",15," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",300," "," ","X",0," "," ","X",251," "," ","X",89," "," ","X",353," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",NA," "," "," "
"877","USW00014936",1900,7,"PRCP",0," "," ","X",0,"T"," ","X",155," "," ","X",109," "," ","X",201," "," ","X",0," "," ","X",3," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",447," "," ","X",442," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",51," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",13," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X"
"882","USW00014936",1900,8,"PRCP",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",635," "," ","X",8," "," ","X",157," "," ","X",0,"T"," ","X",0,"T"," ","X",348," "," ","X",3," "," ","X",130," "," ","X",13," "," ","X",0," "," ","X",15," "," ","X",0," "," ","X",5," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",38," "," ","X",3," "," ","X",97," "," ","X",216," "," ","X",0," "," ","X",0," "," ","X",25," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X"
"887","USW00014936",1900,9,"PRCP",0," "," ","X",36," "," ","X",0," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",91," "," ","X",368," "," ","X",8," "," ","X",23," "," ","X",10," "," ","X",0," "," ","X",0," "," ","X",0,"T"," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",3," "," ","X",0,"T"," ","X",5," "," ","X",0," "," ","X",20," "," ","X",0," "," ","X",33," "," ","X",5," "," ","X",0," "," ","X",5," "," ","X",0,"T"," ","X",0," "," ","X",0," "," ","X",NA," "," "," "
"892","USW00014936",1900,10,"PRCP",0,"T"," ","X",0," "," ","X",0," "," ","X",3," "," ","X",3," "," ","X",142," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",10," "," ","X",97," "," ","X",76," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",0," "," ","X",43," "," ","X",0," "," ","X"
